trint_subst_obs	trint_onto_genome
ACA>A	20	18.7143483194768
ACC>A	6	6.14117537396804
ACG>A	2	2.38553872452263
ACT>A	14	13.5227026812911
CCA>A	15	15.0914554237778
CCC>A	7	7.74731204793222
CCG>A	1	1.41694826328772
CCT>A	7	7.31928693591117
GCA>A	11	16.7180000017845
GCC>A	2	2.22937196953969
GCG>A	2	2.94601970158349
GCT>A	10	10.4189664526582
TCA>A	25	23.0181303438889
TCC>A	17	17.1787014050509
TCG>A	1	1.23221698677512
TCT>A	22	21.1422484739734
ACA>G	8	7.48573932779073
ACC>G	7	7.16470460296271
ACG>G	1	1.19276936226131
ACT>G	9	8.6931660094014
CCA>G	3	3.01829108475557
CCC>G	4	4.42703545596127
CCG>G	3	4.25084478986317
CCT>G	7	7.31928693591117
GCA>G	2	3.03963636396082
GCC>G	2	2.22937196953969
GCG>G	1	1.47300985079174
GCT>G	3	3.12568993579746
TCA>G	14	12.8901529925778
TCC>G	6	6.06307108413562
TCG>G	1	1.23221698677512
TCT>G	22	21.1422484739734
ACA>T	16	14.9714786555815
ACC>T	8	8.18823383195738
ACG>T	18	21.4698485207036
ACT>T	14	13.5227026812911
CCA>T	13	13.0792613672741
CCC>T	15	16.6013829598547
CCG>T	12	17.0033791594527
CCT>T	14	14.6385738718223
GCA>T	16	24.3170909116866
GCC>T	16	17.8349757563176
GCG>T	6	8.83805910475046
GCT>T	14	14.5865530337215
TCA>T	27	24.8595807714001
TCC>T	17	17.1787014050509
TCG>T	8	9.85773589420095
TCT>T	22	21.1422484739734
ATA>A	11	10.2907041373062
ATC>A	5	4.77767250876981
ATG>A	5	5.21783874082016
ATT>A	7	6.7874826368013
CTA>A	3	2.7666750904735
CTC>A	3	3.0888095595773
CTG>A	2	2.2147792503186
CTT>A	8	7.96917924864856
GTA>A	1	0.906537995637072
GTC>A	3	2.9128390755753
GTG>A	1	1.12336632506788
GTT>A	1	0.996603494095207
TTA>A	2	1.74350203124173
TTC>A	3	2.70851398963968
TTG>A	7	6.97748590088069
TTT>A	4	3.87000206944864
ATA>C	20	18.7103711587385
ATC>C	14	13.3774830245555
ATG>C	16	16.6970839706245
ATT>C	12	11.6356845202308
CTA>C	6	5.53335018094701
CTC>C	8	8.23682549220614
CTG>C	16	17.7182340025488
CTT>C	8	7.96917924864856
GTA>C	1	0.906537995637072
GTC>C	4	3.88378543410039
GTG>C	3	3.37009897520363
GTT>C	8	7.97282795276165
TTA>C	12	10.4610121874504
TTC>C	7	6.31986597582592
TTG>C	7	6.97748590088069
TTT>C	9	8.70750465625944
ATA>G	3	2.80655567381078
ATC>G	1	0.955534501753962
ATG>G	3	3.1307032444921
ATT>G	2	1.9392807533718
CTA>G	3	2.7666750904735
CTC>G	5	5.14801593262884
CTG>G	4	4.42955850063719
CTT>G	3	2.98844221824321
GTA>G	3	2.71961398691122
GTC>G	0	0
GTG>G	2	2.24673265013575
GTT>G	3	2.98981048228562
TTA>G	11	9.58926117182951
TTC>G	4	3.61135198618624
TTG>G	5	4.98391850062907
TTT>G	13	12.5775067257081
