trint_subst_obs	trint_onto_genome
ACA>A	39	36.4585553818345
ACC>A	2	2.09246512097678
ACG>A	1	1.22646429138256
ACT>A	9	8.70395921890172
CCA>A	24	24.6984349603277
CCC>A	6	6.88226615765247
CCG>A	0	0
CCT>A	8	8.5615970869851
GCA>A	18	27.971230329138
GCC>A	11	12.74214654716
GCG>A	1	1.53885281318337
GCT>A	6	6.40016013225658
TCA>A	22	20.2188350751091
TCC>A	14	14.4068351127874
TCG>A	0	0
TCT>A	21	20.2083907342586
ACA>G	15	14.0225213007056
ACC>G	3	3.13869768146518
ACG>G	3	3.67939287414767
ACT>G	6	5.80263947926781
CCA>G	5	5.14550728340161
CCC>G	5	5.73522179804372
CCG>G	2	2.95189506358915
CCT>G	4	4.28079854349255
GCA>G	1	1.55395724050766
GCC>G	4	4.63350783533092
GCG>G	1	1.53885281318337
GCT>G	7	7.46685348763267
TCA>G	13	11.9474934534735
TCC>G	5	5.14529825456691
TCG>G	1	1.26331598938071
TCT>G	19	18.2837820929007
ACA>T	19	17.7618603142271
ACC>T	13	13.6010232863491
ACG>T	9	11.038178622443
ACT>T	16	15.4737052780475
CCA>T	17	17.4947247635655
CCC>T	16	18.3527097537399
CCG>T	5	7.37973765897288
CCT>T	8	8.5615970869851
GCA>T	16	24.8633158481226
GCC>T	13	15.0589004648255
GCG>T	5	7.69426406591683
GCT>T	11	11.7336269091371
TCA>T	37	34.0044044445016
TCC>T	18	18.5230737164409
TCG>T	9	11.3698439044264
TCT>T	16	15.3968691308637
ATA>A	7	6.28206756442012
ATC>A	8	7.59878943486166
ATG>A	6	6.23245161665527
ATT>A	11	10.3884627408726
CTA>A	5	4.56906414429
CTC>A	6	6.29259112567613
CTG>A	6	6.78633444334285
CTT>A	6	5.97481665726056
GTA>A	2	1.78944238702532
GTC>A	3	2.94907193734738
GTG>A	3	3.43320263425563
GTT>A	3	2.98476202318903
TTA>A	11	9.26237608148298
TTC>A	7	6.27813869094085
TTG>A	5	4.97229070353267
TTT>A	11	10.4309967790529
ATA>C	9	8.0769440113973
ATC>C	4	3.79939471743083
ATG>C	11	11.4261612972013
ATT>C	10	9.44405703715691
CTA>C	5	4.56906414429
CTC>C	3	3.14629556283806
CTG>C	4	4.52422296222857
CTT>C	10	9.95802776210094
GTA>C	8	7.15776954810127
GTC>C	7	6.88116785381055
GTG>C	2	2.28880175617042
GTT>C	4	3.97968269758538
TTA>C	8	6.7362735138058
TTC>C	7	6.27813869094085
TTG>C	7	6.96120698494574
TTT>C	10	9.4827243445935
ATA>G	4	3.58975289395435
ATC>G	0	0
ATG>G	6	6.23245161665527
ATT>G	7	6.61083992600983
CTA>G	1	0.913812828857999
CTC>G	2	2.09753037522538
CTG>G	4	4.52422296222857
CTT>G	6	5.97481665726056
GTA>G	3	2.68416358053798
GTC>G	2	1.96604795823159
GTG>G	2	2.28880175617042
GTT>G	3	2.98476202318903
TTA>G	10	8.42034189225726
TTC>G	5	4.48438477924346
TTG>G	7	6.96120698494574
TTT>G	13	12.3275416479716
