trint_subst_obs	trint_onto_genome
ACA>A	29	27.7327289847369
ACC>A	15	15.7606997037228
ACG>A	2	2.48239308236328
ACT>A	17	16.6614925383008
CCA>A	28	29.0864896434368
CCC>A	9	10.3230359471578
CCG>A	1	1.484797857013
CCT>A	14	15.0409687883914
GCA>A	13	20.509540110297
GCC>A	9	10.3850424354883
GCG>A	7	10.8268663822961
GCT>A	11	11.7855479843393
TCA>A	35	33.0458462714133
TCC>A	27	28.1358978924207
TCG>A	3	3.83558083412306
TCT>A	41	39.9994489879792
ACA>G	20	19.1260199894737
ACC>G	7	7.35499319507064
ACG>G	1	1.24119654118164
ACT>G	8	7.8407023709651
CCA>G	9	9.34922881396182
CCC>G	2	2.29400798825729
CCG>G	4	5.939191428052
CCT>G	13	13.9666138749349
GCA>G	4	6.31062772624525
GCC>G	4	4.61557441577257
GCG>G	2	3.09339039494174
GCT>G	1	1.07141345312176
TCA>G	12	11.3300044359131
TCC>G	8	8.33656233849502
TCG>G	2	2.55705388941537
TCT>G	20	19.5119263355996
ACA>T	24	22.9512239873684
ACC>T	11	11.5578464493967
ACG>T	16	19.8591446589062
ACT>T	22	21.561931520154
CCA>T	34	35.3193088527447
CCC>T	17	19.499067900187
CCG>T	9	13.363180713117
CCT>T	23	24.7101630095001
GCA>T	16	25.242510904981
GCC>T	16	18.4622976630903
GCG>T	8	12.373561579767
GCT>T	15	16.0712017968264
TCA>T	36	33.9900133077394
TCC>T	28	29.1779681847326
TCG>T	7	8.9496886129538
TCT>T	26	25.3655042362795
ATA>A	13	11.6111317168937
ATC>A	7	6.70828384385334
ATG>A	4	4.13270158680696
ATT>A	9	8.27717615171778
CTA>A	10	9.12722443710834
CTC>A	6	6.32927485931639
CTG>A	4	4.51188590371285
CTT>A	3	2.9305899623489
GTA>A	5	4.48832316870552
GTC>A	5	4.96109406466267
GTG>A	4	4.55375746836967
GTT>A	3	2.90624875287127
TTA>A	18	15.2137529376222
TTC>A	7	6.34959501613177
TTG>A	7	6.9505568068698
TTT>A	19	17.5421688449501
ATA>C	38	33.9402311724585
ATC>C	14	13.4165676877067
ATG>C	23	23.76303412414
ATT>C	24	22.0724697379141
CTA>C	8	7.30177954968667
CTC>C	6	6.32927485931639
CTG>C	10	11.2797147592821
CTT>C	13	12.6992231701786
GTA>C	7	6.28365243618773
GTC>C	9	8.9299693163928
GTG>C	9	10.2459543038318
GTT>C	13	12.5937445957755
TTA>C	17	14.3685444410876
TTC>C	10	9.07085002304539
TTG>C	12	11.9152402403482
TTT>C	19	17.5421688449501
ATA>G	4	3.57265591289037
ATC>G	4	3.83330505363048
ATG>G	12	12.3981047604209
ATT>G	12	11.036234868957
CTA>G	4	3.65088977484333
CTC>G	2	2.1097582864388
CTG>G	4	4.51188590371285
CTT>G	11	10.7454965286126
GTA>G	0	0
GTC>G	3	2.9766564387976
GTG>G	4	4.55375746836967
GTT>G	7	6.78124709003296
TTA>G	8	6.76166797227653
TTC>G	7	6.34959501613177
TTG>G	14	13.9011136137396
TTT>G	8	7.38617635576846
