trint_subst_obs	trint_onto_genome
ACA>A	36	34.4067744843179
ACC>A	15	15.5861238149343
ACG>A	1	1.22144808169423
ACT>A	14	13.7102104080534
CCA>A	25	25.6506168304423
CCC>A	16	18.0228447787757
CCG>A	4	5.79027259908034
CCT>A	13	13.7971234577789
GCA>A	21	32.7951996320605
GCC>A	11	12.4520314239908
GCG>A	3	4.52049765020529
GCT>A	18	19.0747164412712
TCA>A	26	24.4869505218691
TCC>A	20	20.6208632028633
TCG>A	3	3.77111294846496
TCT>A	26	25.3138798742368
ACA>G	16	15.291899770808
ACC>G	4	4.15629968398249
ACG>G	1	1.22144808169423
ACT>G	7	6.85510520402669
CCA>G	16	16.4163947714831
CCC>G	6	6.75856679204088
CCG>G	2	2.89513629954017
CCT>G	5	5.30658594529959
GCA>G	5	7.8083808647763
GCC>G	9	10.188025710538
GCG>G	0	0
GCT>G	5	5.29853234479755
TCA>G	10	9.41805789302656
TCC>G	3	3.09312948042949
TCG>G	2	2.51407529897664
TCT>G	23	22.3930475810556
ACA>T	37	35.3625182199934
ACC>T	15	15.5861238149343
ACG>T	13	15.878825062025
ACT>T	19	18.6067141252153
CCA>T	37	37.9629129090547
CCC>T	19	21.4021281747961
CCG>T	10	14.4756814977008
CCT>T	35	37.1461016170971
GCA>T	14	21.8634664213736
GCC>T	20	22.6400571345288
GCG>T	8	12.0546604005474
GCT>T	13	13.7761840964736
TCA>T	44	41.4394547293169
TCC>T	21	21.6519063630064
TCG>T	7	8.79926354641823
TCT>T	24	23.3666583454493
ATA>A	8	7.29876099407037
ATC>A	7	6.72044900195729
ATG>A	11	11.4140701847865
ATT>A	13	12.1474366353537
CTA>A	7	6.41607707737474
CTC>A	7	7.30929800803938
CTG>A	8	8.9331652399254
CTT>A	8	7.83822905003136
GTA>A	4	3.61213933617966
GTC>A	5	4.92464925489517
GTG>A	5	5.64498848308481
GTT>A	2	1.94519138653064
TTA>A	22	18.8776587302867
TTC>A	10	9.09011365128464
TTG>A	7	6.96215401336883
TTT>A	21	19.5948410683183
ATA>C	22	20.0715927336935
ATC>C	12	11.5207697176411
ATG>C	24	24.903425857716
ATT>C	26	24.2948732707074
CTA>C	14	12.8321541547495
CTC>C	8	8.35348343775929
CTG>C	16	17.8663304798508
CTT>C	11	10.7775649437931
GTA>C	6	5.41820900426949
GTC>C	5	4.92464925489517
GTG>C	9	10.1609792695527
GTT>C	11	10.6985526259185
TTA>C	18	15.4453571429619
TTC>C	10	9.09011365128464
TTG>C	7	6.96215401336883
TTT>C	19	17.7286657284784
ATA>G	4	3.64938049703519
ATC>G	3	2.88019242941027
ATG>G	6	6.22585646442901
ATT>G	12	11.2130184326342
CTA>G	9	8.24924195662467
CTC>G	4	4.17674171887965
CTG>G	8	8.9331652399254
CTT>G	10	9.79778631253921
GTA>G	3	2.70910450213474
GTC>G	2	1.96985970195807
GTG>G	4	4.51599078646785
GTT>G	7	6.80816985285724
TTA>G	11	9.43882936514336
TTC>G	7	6.36307955589924
TTG>G	14	13.9243080267377
TTT>G	27	25.1933670878378
