trint_subst_obs	trint_onto_genome
ACA>A	15	14.3041032920926
ACC>A	9	9.45774652732948
ACG>A	0	0
ACT>A	7	6.85290096362849
CCA>A	11	11.4426877844714
CCC>A	5	5.77247376871299
CCG>A	1	1.50297250236762
CCT>A	8	8.61564142937039
GCA>A	6	9.49662459024773
GCC>A	6	6.95873311782429
GCG>A	0	0
GCT>A	5	5.37490957560189
TCA>A	18	16.960285126368
TCC>A	8	8.34896259098601
TCG>A	0	0
TCT>A	19	18.5188285627485
ACA>G	6	5.72164131683703
ACC>G	6	6.30516435155299
ACG>G	1	1.24317282706968
ACT>G	8	7.83188681557542
CCA>G	6	6.24146606425711
CCC>G	5	5.77247376871299
CCG>G	0	0
CCT>G	11	11.8465069653843
GCA>G	2	3.16554153008258
GCC>G	2	2.31957770594143
GCG>G	0	0
GCT>G	2	2.14996383024076
TCA>G	17	16.018047063792
TCC>G	3	3.13086097161975
TCG>G	3	3.84835847106048
TCT>G	29	28.2655804378793
ACA>T	23	21.9329583812086
ACC>T	6	6.30516435155299
ACG>T	11	13.6749010977665
ACT>T	17	16.6427594830978
CCA>T	7	7.28171040829996
CCC>T	11	12.6994422911686
CCG>T	10	15.0297250236762
CCT>T	12	12.9234621440556
GCA>T	3	4.74831229512387
GCC>T	17	19.7164105005021
GCG>T	7	10.9561828241982
GCT>T	6	6.44989149072227
TCA>T	54	50.8808553791039
TCC>T	30	31.3086097161975
TCG>T	13	16.6762200412621
TCT>T	26	25.3415548753401
ATA>A	13	11.588090225337
ATC>A	4	3.82793369539279
ATG>A	3	3.10082820998791
ATT>A	8	7.36924934896204
CTA>A	5	4.55956067535265
CTC>A	7	7.38723278955479
CTG>A	7	7.91440973638584
CTT>A	6	5.87977591307312
GTA>A	5	4.47939982290166
GTC>A	1	0.991799635086789
GTG>A	0	0
GTT>A	3	2.91265159999904
TTA>A	12	10.0968869145798
TTC>A	5	4.52458140322548
TTG>A	5	4.95564515540429
TTT>A	14	12.8877573209764
ATA>C	25	22.2847888948789
ATC>C	9	8.61285081463377
ATG>C	29	29.9746726965498
ATT>C	25	23.0289042155064
CTA>C	6	5.47147281042318
CTC>C	4	4.22127587974559
CTG>C	8	9.04503969872667
CTT>C	8	7.83970121743083
GTA>C	3	2.687639893741
GTC>C	3	2.97539890526037
GTG>C	4	4.56605340068679
GTT>C	11	10.6797225333298
TTA>C	9	7.57266518593484
TTC>C	7	6.33441396451567
TTG>C	7	6.937903217566
TTT>C	18	16.5699736983983
ATA>G	7	6.2397408905661
ATC>G	3	2.87095027154459
ATG>G	3	3.10082820998791
ATT>G	17	15.6596548665443
CTA>G	5	4.55956067535265
CTC>G	3	3.16595690980919
CTG>G	3	3.3918898870225
CTT>G	8	7.83970121743083
GTA>G	2	1.79175992916066
GTC>G	1	0.991799635086789
GTG>G	2	2.28302670034339
GTT>G	3	2.91265159999904
TTA>G	10	8.41407242881649
TTC>G	3	2.71474884193529
TTG>G	5	4.95564515540429
TTT>G	16	14.7288655096873
