trint_subst_obs	trint_onto_genome
ACA>A	26	24.8190241572223
ACC>A	9	9.41689996965096
ACG>A	0	0
ACT>A	11	10.7773254514876
CCA>A	17	17.5827102078902
CCC>A	11	12.572334710459
CCG>A	5	7.38263981458683
CCT>A	9	9.63246690988179
GCA>A	6	9.43802312294779
GCC>A	4	4.59180475132983
GCG>A	2	3.07884653953041
GCT>A	9	9.6205976236236
TCA>A	24	22.596086553044
TCC>A	23	23.8670283856625
TCG>A	3	3.81172244980104
TCT>A	19	18.5261742323691
ACA>G	9	8.59120066980771
ACC>G	7	7.32425553195074
ACG>G	2	2.4644368784344
ACT>G	10	9.79756859226143
CCA>G	5	5.17138535526181
CCC>G	11	12.572334710459
CCG>G	1	1.47652796291737
CCT>G	13	13.9135633142737
GCA>G	4	6.29201541529853
GCC>G	5	5.73975593916228
GCG>G	0	0
GCT>G	2	2.13791058302747
TCA>G	16	15.0640577020293
TCC>G	6	6.22618131799891
TCG>G	2	2.54114829986736
TCT>G	29	28.2767922494054
ACA>T	26	24.8190241572223
ACC>T	13	13.6021888450514
ACG>T	10	12.322184392172
ACT>T	12	11.7570823107137
CCA>T	20	20.6855414210473
CCC>T	14	16.0011532678569
CCG>T	3	4.4295838887521
CCT>T	12	12.8432892131757
GCA>T	11	17.3030423920709
GCC>T	15	17.2192678174869
GCG>T	6	9.23653961859124
GCT>T	14	14.9653740811923
TCA>T	44	41.4261586805807
TCC>T	19	19.7162408403299
TCG>T	8	10.1645931994695
TCT>T	23	22.4264214391836
ATA>A	14	12.6076989511665
ATC>A	1	0.957321456646599
ATG>A	4	4.14231062211855
ATT>A	4	3.71232477193385
CTA>A	6	5.48114537404372
CTC>A	5	5.24310831558676
CTG>A	7	7.86391055387527
CTT>A	7	6.86375285047254
GTA>A	3	2.69471392204831
GTC>A	4	3.94790240858483
GTG>A	1	1.13501886692296
GTT>A	3	2.91721709228775
TTA>A	12	10.1716440846877
TTC>A	6	5.42980738141852
TTG>A	4	3.96858367813904
TTT>A	12	11.1322394081758
ATA>C	31	27.9170476775829
ATC>C	9	8.61589310981939
ATG>C	15	15.5336648329446
ATT>C	22	20.4177862456362
CTA>C	5	4.56762114503643
CTC>C	1	1.04862166311735
CTG>C	5	5.61707896705376
CTT>C	9	8.82482509346469
GTA>C	5	4.49118987008052
GTC>C	10	9.86975602146207
GTG>C	8	9.08015093538369
GTT>C	18	17.5033025537265
TTA>C	20	16.9527401411462
TTC>C	8	7.23974317522469
TTG>C	4	3.96858367813904
TTT>C	14	12.9876126428718
ATA>G	6	5.40329955049993
ATC>G	3	2.8719643699398
ATG>G	4	4.14231062211855
ATT>G	15	13.9212178947519
CTA>G	8	7.30819383205829
CTC>G	5	5.24310831558676
CTG>G	11	12.3575737275183
CTT>G	8	7.84428897196861
GTA>G	4	3.59295189606441
GTC>G	0	0
GTG>G	5	5.6750943346148
GTT>G	7	6.80683988200475
TTA>G	9	7.62873306351579
TTC>G	4	3.61987158761235
TTG>G	8	7.93716735627807
TTT>G	23	21.3367921990037
