trint_subst_obs	trint_onto_genome
ACA>A	31	29.6298577322493
ACC>A	7	7.37341990013228
ACG>A	4	4.98756335321269
ACT>A	13	12.7460453924051
CCA>A	14	14.5904090699659
CCC>A	9	10.4139479172596
CCG>A	2	3.00513725059918
CCT>A	10	10.7865354796851
GCA>A	10	15.8252355104833
GCC>A	11	12.7854977611775
GCG>A	2	3.13286877891317
GCT>A	12	12.9119204134011
TCA>A	22	20.7585258953735
TCC>A	19	19.870810860809
TCG>A	3	3.8527963873637
TCT>A	25	24.4169280876993
ACA>G	13	12.4254242102981
ACC>G	7	7.37341990013228
ACG>G	0	0
ACT>G	8	7.84372024148009
CCA>G	6	6.25303245855682
CCC>G	6	6.94263194483975
CCG>G	0	0
CCT>G	15	16.1798032195276
GCA>G	4	6.3300942041933
GCC>G	5	5.81158989144431
GCG>G	0	0
GCT>G	9	9.68394031005086
TCA>G	8	7.54855487104493
TCC>G	7	7.32082505398225
TCG>G	1	1.28426546245457
TCT>G	27	26.3702823347152
ACA>T	31	29.6298577322493
ACC>T	11	11.5868027002079
ACG>T	13	16.2095808979413
ACT>T	11	10.7851153320351
CCA>T	18	18.7590973756704
CCC>T	13	15.0423692138195
CCG>T	7	10.5179803770971
CCT>T	14	15.1011496715591
GCA>T	8	12.6601884083866
GCC>T	11	12.7854977611775
GCG>T	2	3.13286877891317
GCT>T	14	15.063907148968
TCA>T	29	27.3635114075379
TCC>T	26	27.1916359147912
TCG>T	5	6.42132731227284
TCT>T	22	21.4868967171754
ATA>A	9	8.01565344715366
ATC>A	8	7.65162669147749
ATG>A	2	2.06293036049466
ATT>A	9	8.26033831189799
CTA>A	8	7.28608738985285
CTC>A	7	7.39642717986489
CTG>A	5	5.64686241051626
CTT>A	9	8.78946528005807
GTA>A	4	3.58171850406467
GTC>A	3	2.97730064539661
GTG>A	1	1.14027249502977
GTT>A	2	1.93613816170476
TTA>A	8	6.7318142643176
TTC>A	11	9.95452143124168
TTG>A	5	4.95252360825806
TTT>A	14	12.8832319609122
ATA>C	20	17.812563215897
ATC>C	4	3.82581334573875
ATG>C	13	13.4090473432153
ATT>C	18	16.520676623796
CTA>C	3	2.73228277119482
CTC>C	6	6.33979472559848
CTG>C	7	7.90560737472277
CTT>C	12	11.7192870400774
GTA>C	5	4.47714813008083
GTC>C	3	2.97730064539661
GTG>C	5	5.70136247514886
GTT>C	7	6.77648356596667
TTA>C	10	8.414767830397
TTC>C	7	6.33469545624471
TTG>C	8	7.9240377732129
TTT>C	28	25.7664639218245
ATA>G	8	7.12502528635881
ATC>G	1	0.956453336434686
ATG>G	5	5.15732590123665
ATT>G	9	8.26033831189799
CTA>G	6	5.46456554238963
CTC>G	2	2.11326490853283
CTG>G	7	7.90560737472277
CTT>G	12	11.7192870400774
GTA>G	0	0
GTC>G	1	0.992433548465537
GTG>G	5	5.70136247514886
GTT>G	9	8.71262172767144
TTA>G	3	2.5244303491191
TTC>G	8	7.23965194999395
TTG>G	7	6.93353305156129
TTT>G	18	16.5641553783157
